200 ['0', '1', '1015', 'de']
200 ['1', '2424796', '1015', 'fr']
200 ['2', '2', '000004458X', 'de']
200 ['3', '2424797', '000004458X', 'fr']
404 ['4', '3', '1002198', 'de']
200 ['5', '2424798', '1002198', 'fr']
200 ['6', '2424799', '1002791', 'fr']
404 ['7', '4980661', '1002791', 'it']
200 ['8', '4', '1002864', 'de']
200 ['9', '2424800', '1002864', 'fr']
200 ['10', '5', '1003704', 'de']
200 ['11', '2424801', '1003704', 'fr']
200 ['12', '6', '1003763', 'de']
200 ['13', '2424802', '1003763', 'fr']
200 ['14', '2424803', '1004271', 'fr']
404 ['15', '4980662', '1004271', 'it']
200 ['16', '7', '000101742X', 'de']
200 ['17', '2424804', '000101742X', 'fr']
200 ['18', '8', '1017519', 'de']
200 ['19', '2424805', '1017519', 'fr']
200 ['20', '9', '000102163X', 'de']
200 ['21', '2424806', '000102163X', 'fr']
200 ['22', '2424807', '1022369', 'fr']
200 ['24', '2424808', '1022857', 'fr']
404 ['23', '4980663', '1022369', 'it']
404 ['25', '4980664', '1022857', 'it']
200 ['27', '2424809', '1032666', 'fr']
200 ['26', '10', '1032666', 'de']
200 ['28', '11', '1034677', 'de']
200 ['29', '2424810', '1034677', 'fr']
200 ['30', '12', '1034936', 'de']
200 ['31', '2424811', '1034936', 'fr']
200 ['32', '13', '1034944', 'de']
200 ['33', '2424812', '1034944', 'fr']
200 ['34', '14', '1035002', 'de']
200 ['35', '2424813', '1035002', 'fr']
200 ['36', '15', '1035029', 'de']
200 ['37', '2424814', '1035029', 'fr']
200 ['39', '7536526', '1035053', 'es']
200 ['40', '2424815', '1035053', 'fr']
200 ['38', '16', '1035053', 'de']
200 ['41', '17', '1035339', 'de']
200 ['42', '2424816', '1035339', 'fr']
200 ['43', '18', '1036866', 'de']
200 ['44', '7536527', '1036866', 'es']
200 ['45', '2424817', '1036866', 'fr']
200 ['46', '19', '1037137', 'de']
200 ['47', '2424818', '1037137', 'fr']
200 ['48', '20', '1037188', 'de']
200 ['49', '2424819', '1037188', 'fr']
200 ['50', '21', '1037994', 'de']
200 ['51', '2424820', '1037994', 'fr']
200 ['52', '22', '000103863X', 'de']
200 ['53', '2424821', '000103863X', 'fr']
404 ['54', '23', '1039466', 'de']
200 ['55', '2424822', '1039466', 'fr']
200 ['56', '2424823', '1040871', 'fr']
200 ['58', '24', '1040979', 'de']
404 ['57', '4980665', '1040871', 'it']
200 ['59', '2424824', '1040979', 'fr']
200 ['60', '25', '1040987', 'de']
200 ['61', '2424825', '1040987', 'fr']
200 ['62', '26', '1041002', 'de']
200 ['63', '2424826', '1041002', 'fr']
200 ['64', '27', '1041991', 'de']
200 ['65', '2424827', '1041991', 'fr']
200 ['66', '28', '000104317X', 'de']
200 ['67', '2424828', '000104317X', 'fr']
200 ['68', '29', '1043331', 'de']
200 ['69', '2424829', '1043331', 'fr']
200 ['70', '30', '000104348X', 'de']
200 ['71', '2424830', '000104348X', 'fr']
200 ['72', '31', '1043498', 'de']
200 ['73', '2424831', '1043498', 'fr']
200 ['74', '32', '1043773', 'de']
200 ['75', '2424832', '1043773', 'fr']
200 ['76', '33', '000104396X', 'de']
200 ['77', '2424833', '000104396X', 'fr']
200 ['78', '34', '1048325', 'de']
200 ['79', '2424834', '1048325', 'fr']
200 ['80', '35', '1049119', 'de']
200 ['81', '2424835', '1049119', 'fr']
200 ['82', '36', '1057774', 'de']
200 ['83', '2424836', '1057774', 'fr']
200 ['84', '37', '1057790', 'de']
200 ['85', '7536528', '1057790', 'es']
200 ['87', '38', '1057812', 'de']
200 ['86', '2424837', '1057790', 'fr']
200 ['88', '7536529', '1057812', 'es']
200 ['89', '2424838', '1057812', 'fr']
200 ['90', '39', '1057987', 'de']
200 ['91', '2424839', '1057987', 'fr']
200 ['92', '40', '1059238', 'de']
200 ['93', '2424840', '1059238', 'fr']
200 ['94', '41', '1060619', 'de']
200 ['95', '2424841', '1060619', 'fr']
200 ['96', '42', '1060694', 'de']
200 ['97', '7536530', '1060694', 'es']
200 ['98', '2424842', '1060694', 'fr']
200 ['99', '43', '1061305', 'de']
200 ['100', '2424843', '1061305', 'fr']
200 ['101', '44', '1063685', 'de']
200 ['102', '2424844', '1063685', 'fr']
200 ['103', '45', '1065440', 'de']
200 ['104', '2424845', '1065440', 'fr']
200 ['105', '46', '1065548', 'de']
200 ['107', '47', '1066544', 'de']
200 ['106', '2424846', '1065548', 'fr']
200 ['108', '2424847', '1066544', 'fr']
200 ['109', '48', '1067087', 'de']
200 ['111', '49', '1067311', 'de']
200 ['110', '2424848', '1067087', 'fr']
200 ['112', '2424849', '1067311', 'fr']
200 ['113', '7536531', '000106875X', 'es']
200 ['114', '2424850', '000106875X', 'fr']
200 ['115', '4980666', '000106875X', 'it']
200 ['116', '50', '1069470', 'de']
404 ['117', '2424851', '1069470', 'fr']
200 ['118', '51', '1070991', 'de']
200 ['119', '2424852', '1070991', 'fr']
200 ['120', '52', '000107119X', 'de']
200 ['121', '2424853', '000107119X', 'fr']
200 ['122', '53', '1072064', 'de']
200 ['123', '54', '1072226', 'de']
200 ['124', '2424854', '1072226', 'fr']
200 ['125', '55', '1072250', 'de']
200 ['126', '2424855', '1072250', 'fr']
200 ['127', '56', '1072498', 'de']
200 ['128', '2424856', '1072498', 'fr']
200 ['129', '57', '1073389', 'de']
200 ['131', '58', '1073915', 'de']
200 ['130', '2424857', '1073389', 'fr']
200 ['132', '2424858', '1073915', 'fr']
200 ['133', '59', '1074504', 'de']
200 ['134', '2424859', '1074504', 'fr']
200 ['135', '60', '1074954', 'de']
200 ['136', '2424860', '1074954', 'fr']
200 ['137', '61', '1075691', 'de']
200 ['138', '2424861', '1075691', 'fr']
200 ['139', '62', '1075969', 'de']
200 ['140', '2424862', '1075969', 'fr']
200 ['141', '63', '1075977', 'de']
200 ['142', '2424863', '1075977', 'fr']
200 ['143', '64', '1077619', 'de']
200 ['144', '2424864', '1077619', 'fr']
200 ['145', '65', '1077732', 'de']
200 ['146', '2424865', '1077732', 'fr']
200 ['147', '66', '1077988', 'de']
200 ['148', '2424866', '1077988', 'fr']
200 ['149', '67', '1078550', 'de']
200 ['150', '2424867', '1078550', 'fr']
200 ['151', '68', '1079131', 'de']
200 ['152', '2424868', '1079131', 'fr']
200 ['153', '69', '1079875', 'de']
200 ['154', '2424869', '1079875', 'fr']
200 ['155', '70', '1080245', 'de']
200 ['156', '2424870', '1080245', 'fr']
200 ['158', '2424871', '1080350', 'fr']
200 ['159', '2424872', '1080601', 'fr']
200 ['157', '71', '1080350', 'de']
200 ['161', '72', '1080814', 'de']
200 ['162', '2424873', '1080814', 'fr']
404 ['160', '4980667', '1080601', 'it']
200 ['163', '2424874', '1081373', 'fr']
404 ['164', '4980668', '1081373', 'it']
200 ['165', '73', '000108142X', 'de']
200 ['166', '7536532', '000108142X', 'es']
200 ['167', '2424875', '000108142X', 'fr']
200 ['168', '74', '1081470', 'de']
200 ['169', '2424876', '1081470', 'fr']
200 ['170', '75', '000108173X', 'de']
200 ['171', '2424877', '000108173X', 'fr']
200 ['172', '2424878', '000108299X', 'fr']
200 ['173', '4980669', '000108299X', 'it']
200 ['174', '76', '1083309', 'de']
200 ['175', '2424879', '1083309', 'fr']
200 ['176', '77', '1083414', 'de']
200 ['177', '2424880', '1083414', 'fr']
200 ['179', '2424881', '1083902', 'fr']
200 ['178', '78', '1083902', 'de']
200 ['180', '79', '1084615', 'de']
200 ['181', '2424882', '1084615', 'fr']
200 ['182', '80', '1084704', 'de']
200 ['183', '2424883', '1084704', 'fr']
200 ['184', '81', '1085190', 'de']
200 ['185', '2424884', '1085190', 'fr']
200 ['186', '2424885', '1085549', 'fr']
200 ['188', '82', '1085727', 'de']
404 ['187', '4980670', '1085549', 'it']
200 ['189', '2424886', '1085727', 'fr']
200 ['190', '2424887', '1085840', 'fr']
200 ['192', '2424888', '1086413', 'fr']
404 ['191', '4980671', '1085840', 'it']
404 ['193', '4980672', '1086413', 'it']
200 ['194', '83', '1086553', 'de']
200 ['195', '2424889', '1086553', 'fr']
200 ['196', '2424890', '000108657X', 'fr']
200 ['197', '4980673', '000108657X', 'it']
200 ['199', '2424891', '000108660X', 'fr']
200 ['198', '84', '000108660X', 'de']
200 ['200', '85', '000108688X', 'de']
200 ['201', '2424892', '000108688X', 'fr']
200 ['202', '86', '1087061', 'de']
404 ['203', '2424893', '1087061', 'fr']
200 ['204', '87', '1087126', 'de']
200 ['205', '2424894', '1087126', 'fr']
200 ['206', '2424895', '1087177', 'fr']
404 ['207', '4980674', '1087177', 'it']
200 ['208', '88', '1087320', 'de']
200 ['209', '2424896', '1087320', 'fr']
200 ['210', '89', '1087495', 'de']
200 ['211', '2424897', '1087495', 'fr']
200 ['212', '90', '1088114', 'de']
200 ['213', '2424898', '1088114', 'fr']
200 ['215', '2424899', '1088335', 'fr']
200 ['214', '91', '1088335', 'de']
200 ['216', '2424900', '1088351', 'fr']
404 ['217', '4980675', '1088351', 'it']
200 ['218', '92', '000108898X', 'de']
200 ['219', '2424901', '000108898X', 'fr']
200 ['220', '2424902', '1089013', 'fr']
404 ['221', '4980676', '1089013', 'it']
200 ['222', '93', '000108917X', 'de']
200 ['223', '2424903', '000108917X', 'fr']
200 ['224', '94', '1089951', 'de']
200 ['225', '2424904', '1089951', 'fr']
200 ['226', '95', '1090224', 'de']
200 ['227', '2424905', '1090224', 'fr']
200 ['228', '96', '1090283', 'de']
200 ['229', '2424906', '1090283', 'fr']
200 ['230', '97', '1090941', 'de']
200 ['231', '2424907', '1090941', 'fr']
200 ['232', '98', '1091182', 'de']
200 ['233', '2424908', '1091182', 'fr']
200 ['234', '99', '1091425', 'de']
200 ['235', '2424909', '1091425', 'fr']
200 ['236', '100', '1091662', 'de']
200 ['237', '2424910', '1091662', 'fr']
200 ['238', '101', '1091832', 'de']
200 ['239', '2424911', '1091832', 'fr']
200 ['240', '102', '1092006', 'de']
200 ['241', '2424912', '1092006', 'fr']
200 ['242', '103', '1092014', 'de']
200 ['243', '2424913', '1092014', 'fr']
200 ['245', '2424914', '1092049', 'fr']
200 ['244', '104', '1092049', 'de']
200 ['246', '105', '000109212X', 'de']
200 ['247', '2424915', '000109212X', 'fr']
200 ['248', '106', '1092138', 'de']
200 ['249', '2424916', '1092138', 'fr']
200 ['250', '107', '1092227', 'de']
200 ['251', '2424917', '1092227', 'fr']
200 ['252', '108', '1092286', 'de']
200 ['253', '2424918', '1092286', 'fr']
200 ['254', '109', '000109257X', 'de']
200 ['256', '110', '1093002', 'de']
200 ['255', '2424919', '000109257X', 'fr']
200 ['257', '2424920', '1093002', 'fr']
