name,url,price,rating
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjI5MTk2Mzk3MjI2MTk2OjE2Nzk0MTQ0NzQ6c3BfYXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414474%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"2,300",4.2
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjI5MTk2Mzk3MjI2MTk2OjE2Nzk0MTQ0NzQ6c3BfYXRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414474%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,900",4.9
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-3,"1,199",4.0
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-4,565,4.3
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-5,659,4.1
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-6,949,3.9
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-7,499,3.8
"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium - 30 bags/roll (Pack of 6)",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-8,339,4.3
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-9,689,3.9
Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue),https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414474&sr=8-10,689,3.9
"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjI5MTk2Mzk3MjI2MTk2OjE2Nzk0MTQ0NzQ6c3BfbXRmOjIwMTIxOTcyMjYwNDk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414474%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"3,499",4.1
